r,g,b,movie
0,1,0,Parasite
185,192,181,Parasite
71,67,60,Parasite
234,241,230,Parasite
131,138,115,Parasite
228,230,202,Mulholland Drive
92,83,69,Mulholland Drive
29,22,11,Mulholland Drive
91,219,130,Mulholland Drive
165,154,107,Mulholland Drive
0,1,0,No Country for Old Men
159,156,132,No Country for Old Men
80,65,54,No Country for Old Men
224,222,198,No Country for Old Men
134,117,86,No Country for Old Men
71,67,60,Parasite
185,192,181,Parasite
0,1,0,Parasite
234,241,230,Parasite
131,138,115,Parasite
32,24,14,Mulholland Drive
164,158,133,Mulholland Drive
117,102,61,Mulholland Drive
229,232,205,Mulholland Drive
91,219,130,Mulholland Drive
224,222,198,No Country for Old Men
80,65,54,No Country for Old Men
0,1,0,No Country for Old Men
159,156,132,No Country for Old Men
134,117,86,No Country for Old Men
17,17,12,There Will Be Blood
204,193,182,There Will Be Blood
88,75,63,There Will Be Blood
244,245,232,There Will Be Blood
154,136,112,There Will Be Blood
15,18,16,Interstellar
239,236,226,Interstellar
97,90,76,Interstellar
154,156,151,Interstellar
205,202,193,Interstellar
64,64,55,The Dark Knight
138,140,130,The Dark Knight
0,0,0,The Dark Knight
117,120,112,The Dark Knight
174,176,163,The Dark Knight
66,73,70,Mad Max: Fury Road
149,142,130,Mad Max: Fury Road
219,195,187,Mad Max: Fury Road
177,93,35,Mad Max: Fury Road
0,1,0,Mad Max: Fury Road
176,50,50,Spirited Away
198,153,98,Spirited Away
57,33,29,Spirited Away
112,118,79,Spirited Away
229,207,170,Spirited Away
192,184,172,Eternal Sunshine of the Spotless Mind
76,52,39,Eternal Sunshine of the Spotless Mind
127,113,106,Eternal Sunshine of the Spotless Mind
13,7,0,Eternal Sunshine of the Spotless Mind
142,35,41,Eternal Sunshine of the Spotless Mind
64,60,71,The Social Network
212,213,197,The Social Network
147,148,75,The Social Network
0,1,1,The Social Network
105,113,187,The Social Network
194,117,91,Everything Everywhere All at Once
0,1,0,Everything Everywhere All at Once
129,146,131,Everything Everywhere All at Once
74,65,58,Everything Everywhere All at Once
201,217,208,Everything Everywhere All at Once
234,148,90,The LotR: The Fellowship of the Ring
0,1,0,The LotR: The Fellowship of the Ring
78,59,49,The LotR: The Fellowship of the Ring
171,108,68,The LotR: The Fellowship of the Ring
247,185,119,The LotR: The Fellowship of the Ring
60,52,39,The LotR: The Return of the King
183,186,177,The LotR: The Return of the King
123,122,110,The LotR: The Return of the King
167,139,118,The LotR: The Return of the King
20,15,6,The LotR: The Return of the King
220,220,206,Get Out
1,2,2,Get Out
135,133,107,Get Out
79,69,52,Get Out
182,178,157,Get Out
211,212,214,Moonlight
92,74,70,Moonlight
0,2,2,Moonlight
149,155,146,Moonlight
26,204,188,Moonlight
0,0,0,Whiplash
185,151,103,Whiplash
91,57,36,Whiplash
165,117,66,Whiplash
236,197,151,Whiplash
137,144,126,Parasite
0,0,0,Parasite
212,217,208,Parasite
67,68,64,Parasite
142,44,44,Parasite
123,107,66,Mulholland Drive
232,234,214,Mulholland Drive
171,165,137,Mulholland Drive
35,27,18,Mulholland Drive
92,217,131,Mulholland Drive
92,73,60,No Country for Old Men
241,239,224,No Country for Old Men
0,0,0,No Country for Old Men
151,144,118,No Country for Old Men
211,206,178,No Country for Old Men
154,137,115,There Will Be Blood
18,16,12,There Will Be Blood
200,190,185,There Will Be Blood
92,76,62,There Will Be Blood
248,245,227,There Will Be Blood
236,233,222,Interstellar
92,90,80,Interstellar
21,22,21,Interstellar
145,150,146,Interstellar
199,195,186,Interstellar
64,64,56,The Dark Knight
139,141,133,The Dark Knight
0,0,0,The Dark Knight
119,120,114,The Dark Knight
175,175,165,The Dark Knight
109,132,134,Mad Max: Fury Road
0,0,0,Mad Max: Fury Road
220,195,189,Mad Max: Fury Road
88,57,49,Mad Max: Fury Road
194,116,55,Mad Max: Fury Road
228,203,167,Spirited Away
57,33,29,Spirited Away
162,60,51,Spirited Away
180,149,92,Spirited Away
85,127,98,Spirited Away
18,5,0,Eternal Sunshine of the Spotless Mind
141,120,110,Eternal Sunshine of the Spotless Mind
193,184,173,Eternal Sunshine of the Spotless Mind
83,50,39,Eternal Sunshine of the Spotless Mind
100,95,98,Eternal Sunshine of the Spotless Mind
103,172,214,The Social Network
0,0,3,The Social Network
149,145,79,The Social Network
216,212,196,The Social Network
70,58,89,The Social Network
130,146,133,Everything Everywhere All at Once
1,1,1,Everything Everywhere All at Once
202,217,208,Everything Everywhere All at Once
74,65,60,Everything Everywhere All at Once
194,112,92,Everything Everywhere All at Once
29,43,168,The LotR: The Fellowship of the Ring
85,59,39,The LotR: The Fellowship of the Ring
244,178,115,The LotR: The Fellowship of the Ring
0,0,0,The LotR: The Fellowship of the Ring
173,108,69,The LotR: The Fellowship of the Ring
14,10,1,The LotR: The Return of the King
116,129,135,The LotR: The Return of the King
184,185,178,The LotR: The Return of the King
61,52,39,The LotR: The Return of the King
148,127,103,The LotR: The Return of the King
1,1,2,Get Out
209,202,187,Get Out
74,96,106,Get Out
84,62,47,Get Out
146,134,106,Get Out
204,212,207,Moonlight
0,1,2,Moonlight
80,75,71,Moonlight
152,141,138,Moonlight
27,204,190,Moonlight
233,189,137,Whiplash
92,56,37,Whiplash
0,0,0,Whiplash
158,134,105,Whiplash
174,117,55,Whiplash
0,0,0,Arrival
101,111,110,Arrival
203,202,193,Arrival
61,69,69,Arrival
137,143,143,Arrival
4,11,7,Children of Men
212,202,183,Children of Men
104,121,111,Children of Men
58,80,72,Children of Men
150,141,134,Children of Men
155,112,88,The Grand Budapest Hotel
0,0,0,The Grand Budapest Hotel
226,186,155,The Grand Budapest Hotel
89,52,34,The Grand Budapest Hotel
180,89,60,The Grand Budapest Hotel
215,202,161,Oppenheimer
81,58,29,Oppenheimer
158,130,88,Oppenheimer
0,0,0,Oppenheimer
44,128,98,Oppenheimer
188,161,152,Inception
2,2,1,Inception
65,62,62,Inception
227,222,209,Inception
124,128,127,Inception
139,124,136,The Departed
0,0,0,The Departed
70,63,69,The Departed
190,186,202,The Departed
126,4,20,The Departed
82,90,87,Portrait of a Lady on Fire
232,213,186,Portrait of a Lady on Fire
158,158,156,Portrait of a Lady on Fire
182,58,53,Portrait of a Lady on Fire
30,31,20,Portrait of a Lady on Fire
69,62,56,Dune: Part Two
212,202,197,Dune: Part Two
0,0,0,Dune: Part Two
137,124,115,Dune: Part Two
181,172,167,Dune: Part Two
