movie,link
Parasite,https://www.youtube.com/watch?v=PR1Z7xpKfqM
Mulholland Drive,https://www.youtube.com/watch?v=UozhOo0Dt4o
No Country for Old Men,https://www.youtube.com/watch?v=opbi7d42s8E
There Will Be Blood,https://www.youtube.com/watch?v=7b6aS8bsILc
Interstellar,https://www.youtube.com/watch?v=a3lcGnMhvsA
The Dark Knight,https://www.youtube.com/watch?v=jane6C4rIwc
Mad Max: Fury Road,https://www.youtube.com/watch?v=UtjGTrVwRr4
Spirited Away,https://www.youtube.com/watch?v=W5szC4XgR1s
Eternal Sunshine of the Spotless Mind,https://www.youtube.com/watch?v=GCvQfMB1eT8
The Social Network,https://www.youtube.com/watch?v=tjMGuJMIgwM
Inglourious Basterds,https://www.youtube.com/watch?v=7LFtoz9sERo
In the Mood for Love,https://www.youtube.com/watch?v=f1w4qnfux-o&list=RDf1w4qnfux-o&start_radio=1
Everything Everywhere All at Once,https://www.youtube.com/watch?v=T51QSG9VN8w&t=7s
The LotR: The Fellowship of the Ring,https://www.youtube.com/watch?v=Bypor4e04rg
The LotR: The Return of the King,https://www.youtube.com/watch?v=K9VWhHJaSjA
La La Land,https://www.youtube.com/watch?v=_8w9rOpV3gc&list=RD_8w9rOpV3gc&start_radio=1
Get Out,https://www.youtube.com/watch?v=uG_KHjd_PSc
Moonlight,https://www.youtube.com/watch?v=nVs5f6UMiiE
Whiplash,https://www.youtube.com/watch?v=GBvBu5ErSSo
